,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Box_office
61,22 June 1897,1979.0,121.0,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,Hit
62,22 Yards,2019.0,126.0,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,Average
63,23rd March 1931: Shaheed,2002.0,188.0,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,Average
64,24 Ghante,1998.0,131.0,Thriller,6.0,55.0,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal,Average
65,25th July,1951.0,131.0,Unknown,7.6,5.0,Chitra Mitra,Unknown,Unknown,Unknown,Hit
66,26-Jan,1956.0,131.0,Unknown,6.6,7.0,Ramesh Saigal,Ajit,Unknown,Unknown,Average
67,26th January,1956.0,131.0,Drama,6.0,55.0,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,Average
68,26th July at Barista,2008.0,131.0,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla,Below_average
69,27 Down,1974.0,115.0,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,Average
70,3 AM: A Paranormal Experience,2014.0,103.0,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,Average
71,3 Bachelors,2012.0,114.0,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,Below_average
72,3 Days 4 Nights in Bihar,2020.0,131.0,Comedy,6.0,55.0,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz,Average
73,3 Deewarein,2003.0,115.0,"Crime, Drama",7.8,2322.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,Hit
74,3 Dev,2019.0,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,Average
75,3 Idiots,2009.0,170.0,"Comedy, Drama",8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Hit
76,3 Nights 4 Days,2009.0,131.0,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani,Average
77,3 Shyaane,2020.0,131.0,Comedy,6.0,55.0,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee,Average
78,3 Storeys,2018.0,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,Average
79,3.0 Megapixel,2015.0,99.0,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,Average
80,30 Days,2004.0,131.0,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo,Average
81,30 Minutes,2016.0,131.0,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar,Average
82,31st October,2015.0,109.0,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,Average
83,340,2009.0,131.0,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa,Average
84,36 China Town,2006.0,140.0,"Comedy, Mystery, Thriller",5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,Average
85,36 Chowringhee Lane,1981.0,122.0,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,Hit
86,36 Ghante,1974.0,131.0,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt,Average
87,376 D,2020.0,128.0,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,Average
88,377 AbNormal,2019.0,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,Average
89,3D Saamri,1985.0,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,Average
90,3G: A Killer Connection,2013.0,125.0,"Horror, Sci-Fi, Thriller",3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,Below_average
91,3rd EYE,2019.0,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,Average
92,3rd November,2016.0,131.0,Horror,6.0,55.0,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan,Average
93,4 Sum,,96.0,"Crime, Drama, Thriller",6.0,55.0,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke,Average
94,404: Error Not Found,2011.0,121.0,"Drama, Mystery, Thriller",7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,Hit
95,417 Miles,2016.0,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,Average
96,42 Kms.,2009.0,131.0,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani,Below_average
97,498A-The Wedding Gift,2012.0,113.0,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,Hit
98,4pm on the Court,2011.0,115.0,Sport,6.0,55.0,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma,Average
99,5 Ghantey Mien 5 Crore,2012.0,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,Average
100,5 Rifles,1974.0,134.0,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,Average
101,5 Rifles,2001.0,131.0,Action,6.0,55.0,Hemant Birje,Anu Kashyap,Raza Murad,Paintal,Average
102,5 Rupees,2018.0,131.0,Unknown,6.0,55.0,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,Unknown,Average
103,50 Lakh,2007.0,131.0,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan,Average
104,500 Ka Note,2002.0,131.0,Thriller,6.0,55.0,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan,Average
105,5ters: Castle of Dark Master,2011.0,110.0,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan,Average
106,6.40 PM,1967.0,131.0,Unknown,5.4,5.0,Mani Kaul,Unknown,Unknown,Unknown,Average
107,6387 Meters Black Peak,2020.0,85.0,Documentary,6.0,55.0,Kovid Mittal,Kovid Mittal,Unknown,Unknown,Average
108,64 Kaam Kalayen,2002.0,131.0,Thriller,6.0,55.0,Hemant Birje,Ankush Mohite,Kirti Rawal,Unknown,Average
109,6-5=2,2014.0,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,Average
110,68 Pages,2007.0,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,Average
111,69 Opposites Attract,2011.0,96.0,Comedy,6.0,55.0,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,Unknown,Average
112,69 Reality in Us,,131.0,"Drama, Romance, Thriller",6.0,55.0,Samir Khan,Unknown,Unknown,Unknown,Average
113,7 1/2 Phere: More Than a Wedding,2005.0,136.0,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,Average
114,7 Bijliyaan,1988.0,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,Average
115,7 Days,1995.0,131.0,"Action, Drama",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill,Below_average
116,7 Hours to Go,2016.0,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,Average
117,7 Islands and a Metro,2006.0,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,Average
118,7 Khoon Maaf,2011.0,137.0,"Drama, Mystery, Thriller",6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,Average
119,7 Saal Baad,1987.0,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,Average
120,706,2019.0,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,Average
121,72 Hours: Martyr Who Never Died,2019.0,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,Average
122,777 Charlie,,136.0,"Adventure, Comedy, Drama",6.0,55.0,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri,Average
123,7th Villa,2018.0,125.0,Horror,6.0,55.0,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit,Average
124,8 PM: A Murder Mystery,2008.0,131.0,Mystery,6.0,55.0,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika,Average
125,8 x 10 Tasveer,2009.0,122.0,"Action, Fantasy, Mystery",5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,Average
126,8119 Miles,2021.0,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,Average
127,'83,2021.0,150.0,"Biography, Drama, History",6.0,55.0,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,Average
128,88 Antop Hill,2003.0,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,Average
129,9 O' Clock,2017.0,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,Average
130,9 Roads 2 Peace,,131.0,Adventure,6.0,55.0,Virendra Rathore,Unknown,Unknown,Unknown,Average
131,9 to 12,2011.0,115.0,"Drama, Musical, Thriller",6.0,55.0,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.,Average
132,99,2009.0,135.0,"Comedy, Crime, Drama",7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,Hit
133,99 Songs,2019.0,128.0,"Musical, Romance",7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,Hit
134,99.9 FM,2005.0,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra,Average
135,A Ballad of Maladies,2016.0,86.0,"Documentary, Music",6.0,55.0,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown,Average
136,A Ballad of Maladies,2016.0,86.0,"Documentary, History, Music",6.0,55.0,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown,Average
137,A Billion Colour Story,2016.0,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,Hit
138,A Biopic from the Film Industry,2019.0,131.0,Drama,6.0,55.0,Sarkar Sahith,Suman Rana,Hari Vishnu,Unknown,Average
139,A Call from the Past,2016.0,76.0,"Drama, Fantasy, Mystery",6.0,55.0,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava,Average
140,A Cold Plan,2021.0,131.0,Thriller,6.0,55.0,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj,Average
141,A Daughter's Dream,2014.0,131.0,"Drama, Family, Sport",6.0,55.0,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain,Average
142,A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,Average
143,A Death in the Gunj,2016.0,110.0,"Drama, Thriller",7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,Hit
144,A Dream Document,2016.0,70.0,Documentary,6.0,55.0,Rupak Das,Unknown,Unknown,Unknown,Average
145,A Far Afternoon: a Painted Saga by Krishen Khanna,2015.0,72.0,"Documentary, Biography",7.7,10.0,Sruti Harihara Subramanian,Unknown,Unknown,Unknown,Hit
146,A Film by Aravind,2005.0,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,Average
147,A Flat,2010.0,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,Average
148,A Flying Jatt,2016.0,151.0,"Action, Adventure, Comedy",3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,Below_average
149,A Game Called Relationship,2020.0,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,Average
150,A Gentleman,2017.0,145.0,"Action, Comedy",6.2,5227.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,Average
151,A Gift of Love: Sifar,2019.0,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,Hit
152,A Handful of Grain,1959.0,92.0,Drama,6.0,55.0,Mehboob Khan,Unknown,Unknown,Unknown,Average
153,A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,Hit
154,A Mermaid Called Aida,1996.0,52.0,Documentary,6.4,7.0,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,Unknown,Average
155,A Mistake (Ek Galti),2021.0,131.0,Thriller,6.0,55.0,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil,Average
156,A New Love Ishtory,2013.0,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,Average
157,A Night in Calcutta,1970.0,131.0,Drama,6.0,55.0,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev,Average
158,A Rape Song,2019.0,75.0,"Crime, Drama",6.0,55.0,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,Unknown,Average
159,A Rifle and a Bag,2020.0,89.0,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,Unknown,Average
160,A Scandall,2016.0,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,Below_average
161,A Separate Sky,2021.0,131.0,Drama,6.0,55.0,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,Average
162,A Sketch Killer: Who's Next,1997.0,131.0,Thriller,6.0,55.0,Vinod Alva,Kalyan Kumar,Raghuvaran,Unknown,Average
163,A Small Family,1976.0,131.0,Documentary,6.0,55.0,Fali Bilimoria,Unknown,Unknown,Unknown,Average
164,A Song for No One,,131.0,"Comedy, Drama, Music",6.0,55.0,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,Unknown,Average
165,A Story of a Call Girl,2000.0,131.0,Thriller,6.0,55.0,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri,Average
166,A Strange Love Story,2011.0,131.0,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi,Below_average
167,A Sublime Love Story: Barsaat,2005.0,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,Below_average
168,A Suitable Girl,2017.0,90.0,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,Unknown,Average
169,A Thin Line,2019.0,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,Hit
170,A Thursday,2021.0,131.0,"Drama, Thriller",6.0,55.0,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,Average
171,A Treasure in the Snow,2002.0,131.0,Documentary,6.9,8.0,Goutam Ghose,Unknown,Unknown,Unknown,Average
172,A Twist of Date,2017.0,110.0,"Comedy, Horror, Mystery",6.0,55.0,Kashmera Shah,Kashmera Shah,Unknown,Unknown,Average
173,A Wednesday,2008.0,104.0,"Action, Crime, Drama",8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Hit
174,A.R Rahman Encore Tour,2017.0,131.0,Musical,6.0,55.0,Deepak Gattani,A.R. Rahman,Unknown,Unknown,Average
175,Aa Ab Laut Chalen,1999.0,177.0,"Musical, Romance, Drama",5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,Average
176,AA BB KK,2018.0,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,Hit
177,Aa Bhi Ja O Piya,2021.0,140.0,"Family, Romance",6.0,55.0,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,Average
178,Aa Dekhen Zara,2009.0,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,Average
179,Aa Gale Lag Jaa,1973.0,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,Hit
180,Aa Gale Lag Jaa,1994.0,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,Average
181,Aa Gaya Hero,2017.0,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,Below_average
182,Aa Jao Please,2016.0,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,Average
183,Aaag Hi Aag,1999.0,131.0,Action,4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha,Average
